region_name,year,country,planted_ha,harvested_ha,production_ton,yield_ton_ha,data_source
Vinh Long,1995,VNM,700.0,700.0,1000.0,1.4286,GSO
Vinh Phuc,1995,VNM,16200.0,16200.0,38500.0,2.3765,GSO
Yen Bai,1995,VNM,6100.0,6100.0,9400.0,1.541,GSO
An Giang,1996,VNM,8600.0,8600.0,56200.0,6.5349,GSO
Ba Ria - Vung Tau,1996,VNM,15700.0,15700.0,50000.0,3.1847,GSO
Bac Giang,1996,VNM,10500.0,10500.0,25800.0,2.4571,GSO
Bac Kan,1996,VNM,4600.0,4600.0,9300.0,2.0217,GSO
Bac Lieu,1996,VNM,100.0,100.0,300.0,3.0,GSO
Bac Ninh,1996,VNM,5300.0,5300.0,13600.0,2.566,GSO
Ben Tre,1996,VNM,1200.0,1200.0,3100.0,2.5833,GSO
Binh Dinh,1996,VNM,1300.0,1300.0,4300.0,3.3077,GSO
Binh Duong,1996,VNM,1900.0,1900.0,1400.0,0.7368,GSO
Binh Phuoc,1996,VNM,3900.0,3900.0,8500.0,2.1795,GSO
Binh Thuan,1996,VNM,8200.0,8200.0,19400.0,2.3659,GSO
Ca Mau,1996,VNM,200.0,200.0,600.0,3.0,GSO
Can Tho,1996,VNM,900.0,900.0,3600.0,4.0,GSO
Cao Bang,1996,VNM,33000.0,33000.0,59100.0,1.7909,GSO
Da Nang,1996,VNM,100.0,100.0,300.0,3.0,GSO
Dak Lak,1996,VNM,22400.0,22400.0,71000.0,3.1696,GSO
Dong Nai,1996,VNM,64500.0,64500.0,232200.0,3.6,GSO
Dong Thap,1996,VNM,2400.0,2400.0,13500.0,5.625,GSO
Gia Lai,1996,VNM,17000.0,17000.0,36900.0,2.1706,GSO
Ha Giang,1996,VNM,38000.0,38000.0,53700.0,1.4132,GSO
Ha Nam,1996,VNM,6100.0,6100.0,15500.0,2.541,GSO
Ha Noi,1996,VNM,31800.0,31800.0,97100.0,3.0535,GSO
Ha Tinh,1996,VNM,2900.0,2900.0,6000.0,2.069,GSO
Hai Duong,1996,VNM,12800.0,12800.0,41700.0,3.2578,GSO
Hai Phong,1996,VNM,500.0,500.0,1100.0,2.2,GSO
Ho Chi Minh City,1996,VNM,700.0,700.0,1300.0,1.8571,GSO
Hoa Binh,1996,VNM,15600.0,15600.0,25600.0,1.641,GSO
Hung Yen,1996,VNM,12400.0,12400.0,35000.0,2.8226,GSO
Khanh Hoa,1996,VNM,4900.0,4900.0,7100.0,1.449,GSO
Kien Giang,1996,VNM,100.0,100.0,100.0,1.0,GSO
Kon Tum,1996,VNM,3200.0,3200.0,6300.0,1.9688,GSO
Lai Chau,1996,VNM,29100.0,29100.0,36700.0,1.2612,GSO
Lam Dong,1996,VNM,14400.0,14400.0,55600.0,3.8611,GSO
Lang Son,1996,VNM,10200.0,10200.0,24900.0,2.4412,GSO
Lao Cai,1996,VNM,20100.0,20100.0,31200.0,1.5522,GSO
Long An,1996,VNM,100.0,100.0,600.0,6.0,GSO
Nam Dinh,1996,VNM,7400.0,7400.0,22900.0,3.0946,GSO
Nghe An,1996,VNM,27000.0,27000.0,56000.0,2.0741,GSO
Ninh Binh,1996,VNM,6900.0,6900.0,13300.0,1.9275,GSO
Ninh Thuan,1996,VNM,7100.0,7100.0,7800.0,1.0986,GSO
Phu Tho,1996,VNM,11500.0,11500.0,31000.0,2.6957,GSO
Phu Yen,1996,VNM,4300.0,4300.0,2600.0,0.6047,GSO
Quang Binh,1996,VNM,2800.0,2800.0,5500.0,1.9643,GSO
Quang Nam,1996,VNM,6000.0,6000.0,10400.0,1.7333,GSO
Quang Ngai,1996,VNM,4900.0,4900.0,12400.0,2.5306,GSO
Quang Ninh,1996,VNM,3200.0,3200.0,7400.0,2.3125,GSO
Quang Tri,1996,VNM,1700.0,1700.0,2000.0,1.1765,GSO
Soc Trang,1996,VNM,2300.0,2300.0,5800.0,2.5217,GSO
Son La,1996,VNM,24400.0,24400.0,50800.0,2.082,GSO
Tay Ninh,1996,VNM,4400.0,4400.0,28200.0,6.4091,GSO
Thai Binh,1996,VNM,11200.0,11200.0,36200.0,3.2321,GSO
Thai Nguyen,1996,VNM,7300.0,7300.0,18700.0,2.5616,GSO
Thanh Hoa,1996,VNM,36900.0,36900.0,81300.0,2.2033,GSO
Thua Thien-Hue,1996,VNM,800.0,800.0,1500.0,1.875,GSO
Tien Giang,1996,VNM,2100.0,2100.0,4600.0,2.1905,GSO
Tra Vinh,1996,VNM,1800.0,1800.0,1000.0,0.5556,GSO
Tuyen Quang,1996,VNM,10100.0,10100.0,27100.0,2.6832,GSO
Vinh Long,1996,VNM,800.0,800.0,1100.0,1.375,GSO
Vinh Phuc,1996,VNM,19300.0,19300.0,50100.0,2.5959,GSO
Yen Bai,1996,VNM,6300.0,6300.0,10400.0,1.6508,GSO
An Giang,1997,VNM,4700.0,4700.0,17900.0,3.8085,GSO
Ba Ria - Vung Tau,1997,VNM,16100.0,16100.0,51800.0,3.2174,GSO
Bac Giang,1997,VNM,13600.0,13600.0,38200.0,2.8088,GSO
Bac Kan,1997,VNM,6400.0,6400.0,14900.0,2.3281,GSO
Bac Lieu,1997,VNM,200.0,200.0,500.0,2.5,GSO
Bac Ninh,1997,VNM,6800.0,6800.0,19000.0,2.7941,GSO
Ben Tre,1997,VNM,900.0,900.0,2400.0,2.6667,GSO
Binh Dinh,1997,VNM,1700.0,1700.0,6200.0,3.6471,GSO
Binh Duong,1997,VNM,1100.0,1100.0,1800.0,1.6364,GSO
Binh Phuoc,1997,VNM,6100.0,6100.0,16900.0,2.7705,GSO
Binh Thuan,1997,VNM,8700.0,8700.0,25000.0,2.8736,GSO
Ca Mau,1997,VNM,300.0,300.0,600.0,2.0,GSO
Can Tho,1997,VNM,1500.0,1500.0,5300.0,3.5333,GSO
Cao Bang,1997,VNM,31200.0,31200.0,63800.0,2.0449,GSO
Da Nang,1997,VNM,100.0,100.0,400.0,4.0,GSO
Dak Lak,1997,VNM,32600.0,32600.0,99600.0,3.0552,GSO
Dong Nai,1997,VNM,66800.0,66800.0,210000.0,3.1437,GSO
Dong Thap,1997,VNM,2000.0,2000.0,8300.0,4.15,GSO
Gia Lai,1997,VNM,18700.0,18700.0,39000.0,2.0856,GSO
Ha Giang,1997,VNM,39200.0,39200.0,55400.0,1.4133,GSO
Ha Nam,1997,VNM,6000.0,6000.0,15800.0,2.6333,GSO
Ha Noi,1997,VNM,30600.0,30600.0,99400.0,3.2484,GSO
Ha Tinh,1997,VNM,2700.0,2700.0,5700.0,2.1111,GSO
Hai Duong,1997,VNM,10900.0,10900.0,35900.0,3.2936,GSO
Hai Phong,1997,VNM,800.0,800.0,2600.0,3.25,GSO
Ho Chi Minh City,1997,VNM,900.0,900.0,2600.0,2.8889,GSO
Hoa Binh,1997,VNM,18700.0,18700.0,31900.0,1.7059,GSO
Hung Yen,1997,VNM,10700.0,10700.0,26600.0,2.486,GSO
Khanh Hoa,1997,VNM,3900.0,3900.0,4400.0,1.1282,GSO
Kon Tum,1997,VNM,3400.0,3400.0,7800.0,2.2941,GSO
