region_id,region_name,province_bps,country,year,yield_ku_ha,yield_ton_ha,harvested_ha,production_ton,data_source,method_note
IDN-91,West Papua,PAPUA BARAT,IDN,2022,47.96,4.796,1351.48,6481.32,BPS,KSA
IDN-91,West Papua,PAPUA BARAT,IDN,2023,45.05,4.505,735.0,3311.21,BPS,KSA
IDN-91,West Papua,PAPUA BARAT,IDN,2024,49.69,4.969,748.73,3720.1,BPS,KSA
IDN-92,Southwest Papua,PAPUA BARAT DAYA,IDN,2020,,,,,BPS,KSA
IDN-92,Southwest Papua,PAPUA BARAT DAYA,IDN,2021,,,,,BPS,KSA
IDN-92,Southwest Papua,PAPUA BARAT DAYA,IDN,2022,,,,,BPS,KSA
IDN-92,Southwest Papua,PAPUA BARAT DAYA,IDN,2023,51.39,5.139,274.82,1412.21,BPS,KSA
IDN-92,Southwest Papua,PAPUA BARAT DAYA,IDN,2024,52.07,5.207,228.28,1188.57,BPS,KSA
IDN-94,Papua,PAPUA,IDN,2020,42.48,4.248,2617.97,11120.24,BPS,KSA
IDN-94,Papua,PAPUA,IDN,2021,52.54,5.254,3067.83,16119.68,BPS,KSA
IDN-94,Papua,PAPUA,IDN,2022,50.42,5.042,3002.53,15140.06,BPS,KSA
IDN-94,Papua,PAPUA,IDN,2023,42.95,4.295,798.27,3428.88,BPS,KSA
IDN-94,Papua,PAPUA,IDN,2024,39.52,3.952,990.34,3913.44,BPS,KSA
IDN-95,South Papua,PAPUA SELATAN,IDN,2020,,,,,BPS,KSA
IDN-95,South Papua,PAPUA SELATAN,IDN,2021,,,,,BPS,KSA
IDN-95,South Papua,PAPUA SELATAN,IDN,2022,,,,,BPS,KSA
IDN-95,South Papua,PAPUA SELATAN,IDN,2023,45.16,4.516,15.32,69.18,BPS,KSA
IDN-95,South Papua,PAPUA SELATAN,IDN,2024,51.34,5.134,408.72,2098.29,BPS,KSA
IDN-96,Central Papua,PAPUA TENGAH,IDN,2020,,,,,BPS,KSA
IDN-96,Central Papua,PAPUA TENGAH,IDN,2021,,,,,BPS,KSA
IDN-96,Central Papua,PAPUA TENGAH,IDN,2022,,,,,BPS,KSA
IDN-96,Central Papua,PAPUA TENGAH,IDN,2023,43.4,4.34,2092.54,9081.61,BPS,KSA
IDN-96,Central Papua,PAPUA TENGAH,IDN,2024,40.49,4.049,1243.9,5036.04,BPS,KSA
IDN-97,Highland Papua,PAPUA PEGUNUNGAN,IDN,2020,,,,,BPS,KSA
IDN-97,Highland Papua,PAPUA PEGUNUNGAN,IDN,2021,,,,,BPS,KSA
IDN-97,Highland Papua,PAPUA PEGUNUNGAN,IDN,2022,,,,,BPS,KSA
IDN-97,Highland Papua,PAPUA PEGUNUNGAN,IDN,2023,42.05,4.205,66.31,278.85,BPS,KSA
IDN-97,Highland Papua,PAPUA PEGUNUNGAN,IDN,2024,51.23,5.123,48.23,247.07,BPS,KSA
